NO,username,Jenis Kreator,Platform,Followers,Rate Card
1,zacbritishcat,Cat,Instagram,"395,000",
2,zillbritishcar,Cat,Instagram,"123,000",
3,ecan_britishcat,Cat,Instagram,"10,500",
4,vodkatheking,Cat,Instagram,"99,900",
5,sashi.cat,Cat,Instagram,"278,000",
6,kiwibritishcat,Cat,Instagram,"434,000",
7,daddy_anabul,Cat,Instagram,"43,600",
8,lxx_poporo,Cat,Instagram,"710,000","Rp50,000,000"
9,syifahadju,Cat,Instagram,"21,200,000","Rp4,000,000"
10,adek.elbi,Cat,Instagram,"64,500","Rp3,500,000"
11,nalasicat,Cat,Instagram,"299,999","Rp7,000,000"
12,ceritaadungimut,Cat,Instagram,"16,700",
13,kucingorcil,Cat,Instagram,"132,000","Rp900,000"
14,mengky.milo,Cat,Instagram,"83,700",
15,om_boy_family,Cat,Instagram,"82,000","Rp500,000"
16,kucingomwepe,Cat,Instagram,"135,000","Rp5,000,000"
17,om.boboyy,Cat,Instagram,"23,300",
18,virgoo.story,Cat,Instagram,"110,000",
19,triokojiro,Cat,Instagram,"93,800","Rp1,000,000"
20,kootie.thepersiancat,Cat,Instagram,"277,000","Rp1,500,000"
21,chibihironeko,Cat,Instagram,"49,600","Rp500,000"
22,adenurma,Cat,Instagram,"54,200",
23,indomeong.tv,Cat,Instagram,"97,100","Rp1,000,000"
24,meilysiahelena,Cat,Instagram,"74,600","Rp1,000,000"
25,bubustorythecat,Cat,Instagram,"51,000",
26,wintercat_12,Cat,Instagram,"263,000",
27,nengmolencantik,Cat,Instagram,"30,800","Rp800,000"
28,pudingdut,Cat,Instagram,"103,000","Rp1,000,000"
29,meowompong,Cat,Instagram,"77,700","Rp800,000"
30,mbulthecatt,Cat,Instagram,"31,400","Rp1,000,000"
31,chlowie1188,Cat,Instagram,"21,400","Rp6,000,000"
32,congyangjametoful,Cat,Instagram,"14,200","Rp1,000,000"
33,cikobobaeyes,Cat,Instagram,"150,000","Rp1,100,000"
34,poppofam,Cat,Instagram,"68,300","Rp1,200,000"
35,ciko_pikocan,Cat,Instagram,"28,900","Rp4,000,000"
36,sakedaratista,Cat,Instagram,"22,900",
37,chemmy_29,Cat,Instagram,"92,800",
38,sharaellena,Cat,Instagram,"50,100","Rp500,000"
39,serulingsenja,Cat,Instagram,"110,000","Rp400,000"
40,bubu_berponi,Cat,Instagram,"73,500","Rp1,200,000"
41,Nekokeikochan,Cat,Instagram,"115,000","Rp1,200,000"
42,zaruandhissiblings,Cat,Instagram,"33,600","Rp1,600,000"
43,Toboysuamicabrot,Cat,Instagram,"58,600","Rp2,000,000"
44,cacabrotbrotbrot,Cat,Instagram,"177,000","Rp3,000,000"
45,misterrpuss,Cat,Instagram,"21,600","Rp1,200,000"
46,kinzari.kei,Cat,Instagram,"19,400","Rp750,000"
47,ipulfamilyy ,Cat,Instagram,"39,700","Rp1,200,000"
48,namorabritishcat,Cat,Instagram,"34,500","Rp1,200,000"
49,jeeeeery_,Cat,Instagram,"36,300","Rp1,200,000"
50,mamimoko.fam,Cat,Instagram,"33,500","Rp700,000"
51,babyipapa,Cat,Instagram,"64,000","Rp1,000,000"
52,murtiws,Cat,Instagram,"131,000","Rp7,000,000"
53,barudakspapi,Cat,Tiktok,"12,300","Rp850,000"
54,pudingdut,Cat,Instagram,"103,000","Rp1,000,000"
55,halo.tokyo,Cat,Tiktok,"266,800","Rp1,500,000"
56,sorabritishcat,Cat,Instagram,"28,300","Rp900,000"
57,kucing idol 48,Cat,Tiktok,"74,200","Rp3,000,000"
58,nala simba,Cat,Tiktok,"15,000,000","Rp7,000,000"
59,simbasekkiya,Cat,Tiktok,"188,700","Rp250,000"
60,omwepe,Cat,Tiktok,"833,400","Rp5,000,000"
61,lexydanleokucing,Cat,Tiktok,"41,500","Rp250,000"
62,dailydoseofoyen,Cat,Tiktok,"117,100","Rp550,000"
63,lavieenlav,Cat,Tiktok,"332,400","Rp120,000"
64,lee.m0n,Cat,Tiktok,"67,300","Rp900,000"
65,kittysapitri_,Cat,Tiktok,"19,800","Rp500,000"
66,kinosicat,Cat,Tiktok,"55,500","Rp250,000"
67,xicera,Cat,Tiktok,"94,000","Rp400,000"
68,Zoromiaw,Cat,Tiktok,"200,600","Rp240,000"
69,firdasoraya88,Cat,Tiktok,"45,300","Rp100,000"
70,timigendut,Cat,Instagram,"140,700","Rp300,000"
71,diahdheol23,Cat,Tiktok,"513,200","Rp300,000"
72,ava's Family,Cat,Instagram,"155,100","Rp1,500,000"
73,diego_mellowcat,Cat,Instagram,"51,100",Rp0
74,mutiasumahdi,Cat,Instagram,"84,400","Rp450,000"
75,bubblesixk,Cat,Tiktok,"177,100","Rp500,000"
76,aja_imam,Cat,Instagram,"1,790","Rp300,000"
77,alvinaryap,Cat,Instagram,"51,700","Rp300,000"
78,rubymeong,Cat,Instagram,"9,551","Rp250,000"
79,custombyrk/mamabagol,Cat,Tiktok,"363,100","Rp300,000"
80,rapalguna,Cat,Tiktok,"418,600","Rp1,500,000"
81,bubupawpaw,Cat,Instagram,"6,128","Rp500,000"
82,@rafae.lwell__,Cat,Tiktok,"147,800","Rp100,000"
83,oh_maemunah,Cat,Tiktok,"43,200","Rp1,600,000"
84,bubupawpaw,Cat,Instagram,"6,128","Rp500,000"
85,catzonesia,Cat,Tiktok,"464,400","Rp1,000,000"
86,leo_kucing,Cat,Tiktok,42600,"Rp1,000,000"
87,nytare.review,Cat,Instagram,106400,"Rp800,000"
88,mengky.milo,Cat,Instagram,"303,600","Rp750,000"
89,septiawulan25,Cat,Instagram,,"Rp350,000"
90,ajibankara.official,Cat,Instagram,,"Rp950,000"
91,danang.thecat,Cat,Instagram,,"Rp350,000"
92,hi_lookie,Cat,Tiktok,"31,100","Rp200,000"
93,itslockiespage,Cat,Tiktok,"58,300","Rp300,000"
94,babyipapa,Cat,Tiktok,"737,500","Rp900,000"
95,iwhy_75,Cat,Instagram,,"Rp250,000"
96,apria_wi,Cat,Instagram,,"Rp1,500,000"
97,lockycatt,Cat,Tiktok,"23,800",Rp0
98,nitayunita129,Cat,Tiktok,"109,500",Rp0
99,Catzonesia,Cat,Tiktok,,"Rp1,000,000"
100,Nytareview,Cat,Tiktok,,"Rp1,500,000"
101,agegesaputra,Cat,Tiktok,"89,000","Rp3,000,000"
102,gwintheragdoll,Cat,Tiktok,"46,600","Rp7,000,000"
103,bondsicat,Cat,Tiktok,"25,100","Rp600,000"
104,samshinecat,Cat,Tiktok,"21,600","Rp600,000"
105,bilalpyarka,Cat,Tiktok,27500,Rp0
106,yeliandfamilyofficial,Cat,Tiktok,8481,"Rp300,000"
107,pitapixie,Cat,Tiktok,1000000,"Rp5,000,000"
