line_number,username,platform,creator_type,followers,follower_tier,rate_card_idr,rate_card_raw,is_barter
2,lxx_poporo,instagram,cat,710000,macro,50000000,"Rp50,000,000",False
3,syifahadju,instagram,cat,21200000,mega,4000000,"Rp4,000,000",False
4,adek.elbi,instagram,cat,64500,micro,3500000,"Rp3,500,000",False
5,nalasicat,instagram,cat,299999,macro,7000000,"Rp7,000,000",False
6,kucingorcil,instagram,cat,132000,macro,900000,"Rp900,000",False
7,om_boy_family,instagram,cat,82000,micro,500000,"Rp500,000",False
8,kucingomwepe,instagram,cat,135000,macro,5000000,"Rp5,000,000",False
9,triokojiro,instagram,cat,93800,micro,1000000,"Rp1,000,000",False
10,kootie.thepersiancat,instagram,cat,277000,macro,1500000,"Rp1,500,000",False
11,chibihironeko,instagram,cat,49600,micro,500000,"Rp500,000",False
12,indomeong.tv,instagram,cat,97100,micro,1000000,"Rp1,000,000",False
13,meilysiahelena,instagram,cat,74600,micro,1000000,"Rp1,000,000",False
14,nengmolencantik,instagram,cat,30800,micro,800000,"Rp800,000",False
15,pudingdut,instagram,cat,103000,macro,1000000,"Rp1,000,000",False
16,meowompong,instagram,cat,77700,micro,800000,"Rp800,000",False
17,mbulthecatt,instagram,cat,31400,micro,1000000,"Rp1,000,000",False
18,chlowie1188,instagram,cat,21400,micro,6000000,"Rp6,000,000",False
19,congyangjametoful,instagram,cat,14200,micro,1000000,"Rp1,000,000",False
20,cikobobaeyes,instagram,cat,150000,macro,1100000,"Rp1,100,000",False
21,poppofam,instagram,cat,68300,micro,1200000,"Rp1,200,000",False
22,ciko_pikocan,instagram,cat,28900,micro,4000000,"Rp4,000,000",False
23,sharaellena,instagram,cat,50100,micro,500000,"Rp500,000",False
24,serulingsenja,instagram,cat,110000,macro,400000,"Rp400,000",False
25,bubu_berponi,instagram,cat,73500,micro,1200000,"Rp1,200,000",False
26,Nekokeikochan,instagram,cat,115000,macro,1200000,"Rp1,200,000",False
27,zaruandhissiblings,instagram,cat,33600,micro,1600000,"Rp1,600,000",False
28,Toboysuamicabrot,instagram,cat,58600,micro,2000000,"Rp2,000,000",False
29,cacabrotbrotbrot,instagram,cat,177000,macro,3000000,"Rp3,000,000",False
30,misterrpuss,instagram,cat,21600,micro,1200000,"Rp1,200,000",False
31,kinzari.kei,instagram,cat,19400,micro,750000,"Rp750,000",False
32,ipulfamilyy,instagram,cat,39700,micro,1200000,"Rp1,200,000",False
33,namorabritishcat,instagram,cat,34500,micro,1200000,"Rp1,200,000",False
34,jeeeeery_,instagram,cat,36300,micro,1200000,"Rp1,200,000",False
35,mamimoko.fam,instagram,cat,33500,micro,700000,"Rp700,000",False
36,babyipapa,instagram,cat,64000,micro,1000000,"Rp1,000,000",False
37,murtiws,instagram,cat,131000,macro,7000000,"Rp7,000,000",False
38,barudakspapi,tiktok,cat,12300,micro,850000,"Rp850,000",False
39,pudingdut,instagram,cat,103000,macro,1000000,"Rp1,000,000",False
